"Stkcd","ShortName","Accper","Typrep","F050501B"
"000008","宝利来","2014-12-31","A","0.012980"
"000008","宝利来","2014-12-31","B","0.078378"
"000008","神州高铁","2015-12-31","A","0.065304"
"000008","神州高铁","2015-12-31","B","0.003353"
"000008","神州高铁","2016-12-31","A","0.085953"
"000008","神州高铁","2016-12-31","B","0.023446"
"000008","神州高铁","2017-12-31","A","0.123780"
"000008","神州高铁","2017-12-31","B","0.036913"
"000008","神州高铁","2018-12-31","A","0.046171"
"000008","神州高铁","2018-12-31","B","0.036586"
"000008","神州高铁","2019-12-31","A","0.060373"
"000008","神州高铁","2019-12-31","B","0.007342"
"000008","神州高铁","2020-12-31","A","-0.133757"
"000008","神州高铁","2020-12-31","B","-0.123510"
"000008","神州高铁","2021-12-31","A","-0.258387"
"000008","神州高铁","2021-12-31","B","-0.395691"
"000008","神州高铁","2022-12-31","A","-0.189114"
"000008","神州高铁","2022-12-31","B","-0.130732"
"000008","神州高铁","2023-12-31","A","-0.225612"
"000008","神州高铁","2023-12-31","B","-0.121328"
"000012","南玻A","2014-12-31","A","0.100315"
"000012","南玻A","2014-12-31","B","0.085030"
"000012","南玻A","2015-12-31","A","0.071641"
"000012","南玻A","2015-12-31","B","0.081429"
"000012","南玻A","2016-12-31","A","0.098931"
"000012","南玻A","2016-12-31","B","0.061523"
"000012","南玻A","2017-12-31","A","0.094382"
"000012","南玻A","2017-12-31","B","0.064394"
"000012","南玻A","2018-12-31","A","0.049972"
"000012","南玻A","2018-12-31","B","0.007133"
"000012","南玻A","2019-12-31","A","0.056804"
"000012","南玻A","2019-12-31","B","0.041610"
"000012","南玻A","2020-12-31","A","0.076485"
"000012","南玻A","2020-12-31","B","0.152054"
"000012","南玻A","2021-12-31","A","0.131568"
"000012","南玻A","2021-12-31","B","0.160215"
"000012","南玻A","2022-12-31","A","0.152769"
"000012","南玻A","2022-12-31","B","0.120318"
"000012","南玻A","2023-12-31","A","0.106381"
"000012","南玻A","2023-12-31","B","0.212535"
"000016","深康佳A","2014-12-31","A","0.014084"
"000016","深康佳A","2014-12-31","B","-0.052672"
"000016","深康佳A","2015-12-31","A","-0.414848"
"000016","深康佳A","2015-12-31","B","-0.225416"
"000016","深康佳A","2016-12-31","A","0.027776"
"000016","深康佳A","2016-12-31","B","-0.138736"
"000016","深康佳A","2017-12-31","A","0.620483"
"000016","深康佳A","2017-12-31","B","0.610583"
"000016","深康佳A","2018-12-31","A","0.070743"
"000016","深康佳A","2018-12-31","B","0.014613"
"000016","深康佳A","2019-12-31","A","0.033741"
"000016","深康佳A","2019-12-31","B","-0.093370"
"000016","深康佳A","2020-12-31","A","0.050376"
"000016","深康佳A","2020-12-31","B","0.034036"
"000016","深康佳A","2021-12-31","A","0.079081"
"000016","深康佳A","2021-12-31","B","0.049927"
"000016","深康佳A","2022-12-31","A","-0.209205"
"000016","深康佳A","2022-12-31","B","-0.248912"
"000016","深康佳A","2023-12-31","A","-0.446260"
"000016","深康佳A","2023-12-31","B","-0.164347"
"000017","深中华A","2014-12-31","A","0.428494"
"000017","深中华A","2014-12-31","B","0.340592"
"000017","深中华A","2015-12-31","A","-0.007911"
"000017","深中华A","2015-12-31","B","-0.026808"
"000017","深中华A","2016-12-31","A","0.225184"
"000017","深中华A","2016-12-31","B","-0.052964"
"000017","深中华A","2017-12-31","A","0.083726"
"000017","深中华A","2017-12-31","B","0.157177"
"000017","深中华A","2018-12-31","A","-0.110745"
"000017","深中华A","2018-12-31","B","-0.113745"
"000017","深中华A","2019-12-31","A","-0.682937"
"000017","深中华A","2019-12-31","B","-2.369245"
"000017","*ST 中华A","2020-12-31","A","0.170644"
"000017","*ST 中华A","2020-12-31","B","0.544673"
"000017","深中华A","2021-12-31","A","-0.068307"
"000017","深中华A","2021-12-31","B","-0.848709"
"000017","深中华A","2022-12-31","A","-0.026185"
"000017","深中华A","2022-12-31","B","-0.022342"
"000017","深中华A","2023-12-31","A","0.058195"
"000017","深中华A","2023-12-31","B","0.045425"
"000020","深华发A","2014-12-31","A","0.027324"
