"Symbol","ShortName","EndDate","EquityNature"
"000008","宝利来","2014-12-31","民营"
"000008","神州高铁","2015-12-31","民营"
"000008","神州高铁","2016-12-31","国企"
"000008","神州高铁","2017-12-31","国企"
"000008","神州高铁","2018-12-31","国企"
"000008","神州高铁","2019-12-31","国企"
"000008","神州高铁","2020-12-31","国企"
"000008","神州高铁","2021-12-31","国企"
"000008","神州高铁","2022-12-31","国企"
"000012","南玻A","2014-12-31","国企"
"000012","南玻A","2015-12-31","民营"
"000012","南玻A","2016-12-31","民营"
"000012","南玻A","2017-12-31","民营"
"000012","南玻A","2018-12-31","民营"
"000012","南玻A","2019-12-31","民营"
"000012","南玻A","2020-12-31","民营"
"000012","南玻A","2021-12-31","民营"
"000012","南玻A","2022-12-31","民营"
"000016","深康佳A","2014-12-31","国企"
"000016","深康佳A","2015-12-31","国企"
"000016","深康佳A","2016-12-31","国企"
"000016","深康佳A","2017-12-31","国企"
"000016","深康佳A","2018-12-31","国企"
"000016","深康佳A","2019-12-31","国企"
"000016","深康佳A","2020-12-31","国企"
"000016","深康佳A","2021-12-31","国企"
"000016","深康佳A","2022-12-31","国企"
"000017","深中华A","2014-12-31","民营"
"000017","深中华A","2015-12-31","民营"
"000017","深中华A","2016-12-31","民营"
"000017","深中华A","2017-12-31",""
"000017","深中华A","2018-12-31",""
"000017","深中华A","2019-12-31",""
"000017","*ST 中华A","2020-12-31",""
"000017","深中华A","2021-12-31",""
"000017","深中华A","2022-12-31","民营"
"000020","深华发A","2014-12-31","民营"
"000020","深华发A","2015-12-31","民营"
"000020","深华发A","2016-12-31","民营"
"000020","深华发A","2017-12-31","民营"
"000020","深华发A","2018-12-31","民营"
"000020","深华发A","2019-12-31","民营"
"000020","深华发A","2020-12-31","民营,外资"
"000020","深华发A","2021-12-31","民营,外资"
"000020","深华发A","2022-12-31","民营,外资"
"000021","长城开发","2014-12-31","国企"
"000021","深科技","2015-12-31","国企"
"000021","深科技","2016-12-31","国企"
"000021","深科技","2017-12-31","国企"
"000021","深科技","2018-12-31","国企"
"000021","深科技","2019-12-31","国企"
"000021","深科技","2020-12-31","国企"
"000021","深科技","2021-12-31","国企"
"000021","深科技","2022-12-31","国企"
"000030","富奥股份","2014-12-31","国企"
"000030","富奥股份","2015-12-31","国企"
"000030","富奥股份","2016-12-31","国企"
"000030","富奥股份","2017-12-31","国企"
"000030","富奥股份","2018-12-31","国企"
"000030","富奥股份","2019-12-31","国企"
"000030","富奥股份","2020-12-31","国企"
"000030","富奥股份","2021-12-31","国企"
"000030","富奥股份","2022-12-31","国企"
"000039","中集集团","2014-12-31","国企"
"000039","中集集团","2015-12-31","国企"
"000039","中集集团","2016-12-31","国企"
"000039","中集集团","2017-12-31","国企"
"000039","中集集团","2018-12-31","国企"
"000039","中集集团","2019-12-31","国企"
"000039","中集集团","2020-12-31","国企"
"000039","中集集团","2021-12-31","国企"
"000039","中集集团","2022-12-31","国企"
"000045","深纺织A","2014-12-31","国企"
"000045","深纺织A","2015-12-31","国企"
"000045","深纺织A","2016-12-31","国企"
"000045","深纺织A","2017-12-31","国企"
"000045","深纺织A","2018-12-31","国企"
"000045","深纺织A","2019-12-31","国企"
"000045","深纺织A","2020-12-31","国企"
"000045","深纺织A","2021-12-31","国企"
"000045","深纺织A","2022-12-31","国企"
"000048","康达尔","2014-12-31","民营"
"000048","康达尔","2015-12-31","民营"
"000048","康达尔","2016-12-31","民营"
"000048","康达尔","2017-12-31","民营"
"000048","*ST 康达","2018-12-31","民营"
"000048","康达尔","2019-12-31","民营"
"000048","京基智农","2020-12-31","民营"
"000048","京基智农","2021-12-31","民营"
"000048","京基智农","2022-12-31","民营"
"000049","德赛电池","2014-12-31","国企"
"000049","德赛电池","2015-12-31","国企"
"000049","德赛电池","2016-12-31","国企"
"000049","德赛电池","2017-12-31","国企"
