"Stkcd","ShortName","Accper","Typrep","Bbd1102101","B001302000","B001301000","B001300000"
"000008","宝利来","2014-12-31","A","0.00","853698.63","1044183.73","18290671.46"
"000008","神州高铁","2015-12-31","A","0.00","15815195.82","380756.12","195740020.08"
"000008","神州高铁","2016-12-31","A","","158726409.33","-2080720.31","563740757.51"
"000008","神州高铁","2017-12-31","A","","504163218.77","-10909067.65","1020297615.69"
"000008","神州高铁","2018-12-31","A","","24937350.70","9391834.90","433026927.54"
"000008","神州高铁","2019-12-31","A","","51925192.03","744107.15","549996448.11"
"000008","神州高铁","2020-12-31","A","","-9504236.65","624668.95","-856789151.98"
"000008","神州高铁","2021-12-31","A","","73890727.61","121527.15","-1349759866.82"
"000008","神州高铁","2022-12-31","A","","65067451.57","","-893772009.01"
"000012","南玻A","2014-12-31","A","","328439649.00","-82300000.00","810544641.00"
"000012","南玻A","2015-12-31","A","0.00","288044816.00","-92100000.00","524830420.00"
"000012","南玻A","2016-12-31","A","","-279187752.00","228500000.00","864934254.00"
"000012","南玻A","2017-12-31","A","","427636.00","","980696575.00"
"000012","南玻A","2018-12-31","A","","","","532279699.00"
"000012","南玻A","2019-12-31","A","","","","663718880.00"
"000012","南玻A","2020-12-31","A","","2654504.00","179911200.00","1111875682.00"
"000012","南玻A","2021-12-31","A","","16847647.00","","1930928393.00"
"000012","南玻A","2022-12-31","A","","31567854.00","","2263249853.00"
"000016","深康佳A","2014-12-31","A","0.00","596873633.39","0.00","-149612758.11"
"000016","深康佳A","2015-12-31","A","0.00","13574652.77","32591836.13","-1569225057.84"
"000016","深康佳A","2016-12-31","A","","348445927.65","-14617369.08","-232239924.29"
"000016","深康佳A","2017-12-31","A","","6587848357.88","-66221451.96","6592163474.68"
"000016","深康佳A","2018-12-31","A","","927414370.96","50191052.64","134238303.92"
"000016","深康佳A","2019-12-31","A","","1183381090.39","-3005381.67","303266170.63"
"000016","深康佳A","2020-12-31","A","","2433336004.85","19089541.66","440330836.82"
"000016","深康佳A","2021-12-31","A","","4216806949.38","52490907.33","1513088572.29"
"000016","深康佳A","2022-12-31","A","","936006397.44","-40731333.54","-1967934651.60"
"000017","深中华A","2014-12-31","A","0.00","0.00","0.00","-6727454.97"
"000017","深中华A","2015-12-31","A","0.00","0.00","0.00","-380520.72"
"000017","深中华A","2016-12-31","A","","0.00","","4213917.39"
"000017","深中华A","2017-12-31","A","","","","1813317.84"
"000017","深中华A","2018-12-31","A","","","","-2304476.41"
"000017","深中华A","2019-12-31","A","","","","-7996248.15"
"000017","*ST 中华A","2020-12-31","A","","","","3911707.35"
