"Stkcd","Reptdt","Shrcr1","Shrcr4"
"000008","2014-12-31","51.4804","66.5961"
"000008","2015-12-31","28.2176","59.7158"
"000008","2016-12-31","12.4596","40.4339"
"000008","2017-12-31","12.4187","43.3944"
"000008","2018-12-31","20.0000","53.1931"
"000008","2019-12-31","22.9230","47.9013"
"000008","2020-12-31","25.6192","47.8704"
"000008","2021-12-31","25.6192","47.8344"
"000008","2022-12-31","25.6192","47.7538"
"000012","2014-12-31","3.6220","12.7074"
"000012","2015-12-31","11.0803","30.9722"
"000012","2016-12-31","15.4479","32.1285"
"000012","2017-12-31","14.8415","29.7083"
"000012","2018-12-31","14.8078","29.5642"
"000012","2019-12-31","15.0051","31.1452"
"000012","2020-12-31","15.1883","32.6862"
"000012","2021-12-31","15.1883","33.0807"
"000012","2022-12-31","15.1883","27.2619"
"000016","2014-12-31","21.7508","37.0227"
"000016","2015-12-31","21.7508","39.9693"
"000016","2016-12-31","21.7508","40.5256"
"000016","2017-12-31","21.7508","41.6059"
"000016","2018-12-31","21.7508","40.4475"
"000016","2019-12-31","21.7508","40.3791"
"000016","2020-12-31","21.7508","41.4420"
"000016","2021-12-31","21.7508","44.1334"
"000016","2022-12-31","21.7508","43.7957"
"000017","2014-12-31","11.5188","23.3234"
"000017","2015-12-31","11.5188","20.6849"
"000017","2016-12-31","11.5188","21.6315"
"000017","2017-12-31","11.5188","24.7440"
"000017","2018-12-31","11.5188","21.1921"
"000017","2019-12-31","11.5188","21.3029"
"000017","2020-12-31","11.5188","22.5859"
"000017","2021-12-31","11.5188","22.1362"
"000017","2022-12-31","20.0000","37.2625"
"000020","2014-12-31","41.1391","53.6048"
"000020","2015-12-31","41.1391","54.8350"
"000020","2016-12-31","41.1391","55.5805"
"000020","2017-12-31","41.1391","55.9388"
"000020","2018-12-31","41.2066","56.3905"
"000020","2019-12-31","42.1279","58.1576"
"000020","2020-12-31","42.1279","56.6096"
"000020","2021-12-31","42.1279","57.4053"
"000020","2022-12-31","42.1279","57.4208"
"000021","2014-12-31","44.5088","57.0956"
"000021","2015-12-31","44.5088","57.1301"
"000021","2016-12-31","44.5088","55.6565"
"000021","2017-12-31","44.5088","55.6273"
"000021","2018-12-31","44.5088","55.7223"
"000021","2019-12-31","43.5088","56.3576"
"000021","2020-12-31","36.6053","50.3614"
