"Stkcd","ShortName","Accper","Typrep","F081602C"
"000008","宝利来","2014-12-31","A","0.008977"
"000008","宝利来","2014-12-31","B","4.260602"
"000008","神州高铁","2015-12-31","A","3.215999"
"000008","神州高铁","2015-12-31","B","0.465071"
"000008","神州高铁","2016-12-31","A","0.448569"
"000008","神州高铁","2016-12-31","B","-0.913121"
"000008","神州高铁","2017-12-31","A","0.242497"
"000008","神州高铁","2017-12-31","B","17.066322"
"000008","神州高铁","2018-12-31","A","0.100376"
"000008","神州高铁","2018-12-31","B","0.316989"
"000008","神州高铁","2019-12-31","A","0.255465"
"000008","神州高铁","2019-12-31","B","3.801886"
"000008","神州高铁","2020-12-31","A","-0.404524"
"000008","神州高铁","2020-12-31","B","-0.740486"
"000008","神州高铁","2021-12-31","A","0.155036"
"000008","神州高铁","2021-12-31","B","-0.802213"
"000008","神州高铁","2022-12-31","A","-0.199499"
"000008","神州高铁","2022-12-31","B","-0.729881"
"000012","南玻A","2014-12-31","A","-0.089127"
"000012","南玻A","2014-12-31","B","0.142067"
"000012","南玻A","2015-12-31","A","0.054849"
"000012","南玻A","2015-12-31","B",""
"000012","南玻A","2016-12-31","A","0.207673"
"000012","南玻A","2016-12-31","B",""
"000012","南玻A","2017-12-31","A","0.212313"
"000012","南玻A","2017-12-31","B","1.598880"
"000012","南玻A","2018-12-31","A","-0.024766"
"000012","南玻A","2018-12-31","B","0.003636"
"000012","南玻A","2019-12-31","A","-0.013001"
"000012","南玻A","2019-12-31","B","0.395661"
"000012","南玻A","2020-12-31","A","0.019025"
"000012","南玻A","2020-12-31","B","1.643335"
"000012","南玻A","2021-12-31","A","0.277173"
"000012","南玻A","2021-12-31","B","0.354127"
"000012","南玻A","2022-12-31","A","0.115171"
"000012","南玻A","2022-12-31","B","0.270043"
"000016","深康佳A","2014-12-31","A","-0.029153"
"000016","深康佳A","2014-12-31","B","-0.134498"
"000016","深康佳A","2015-12-31","A","-0.052942"
"000016","深康佳A","2015-12-31","B","-0.134390"
"000016","深康佳A","2016-12-31","A","0.103515"
"000016","深康佳A","2016-12-31","B","-0.115657"
"000016","深康佳A","2017-12-31","A","0.538363"
"000016","深康佳A","2017-12-31","B","-0.133811"
"000016","深康佳A","2018-12-31","A","0.477109"
"000016","深康佳A","2018-12-31","B","0.105367"
"000016","深康佳A","2019-12-31","A","0.194948"
"000016","深康佳A","2019-12-31","B","-0.574956"
"000016","深康佳A","2020-12-31","A","-0.086491"
"000016","深康佳A","2020-12-31","B","-0.346672"
"000016","深康佳A","2021-12-31","A","-0.024732"
"000016","深康佳A","2021-12-31","B","-0.228294"
"000016","深康佳A","2022-12-31","A","-0.397069"
"000016","深康佳A","2022-12-31","B","-0.368012"
"000017","深中华A","2014-12-31","A","-0.217774"
"000017","深中华A","2014-12-31","B","-0.722942"
"000017","深中华A","2015-12-31","A","-0.193712"
"000017","深中华A","2015-12-31","B","-0.563174"
"000017","深中华A","2016-12-31","A","-0.169715"
"000017","深中华A","2016-12-31","B","-0.026711"
"000017","深中华A","2017-12-31","A","-0.031555"
"000017","深中华A","2017-12-31","B","6.908856"
"000017","深中华A","2018-12-31","A","-0.127890"
"000017","深中华A","2018-12-31","B","0.381704"
"000017","深中华A","2019-12-31","A","-0.365986"
"000017","深中华A","2019-12-31","B","0.706044"
"000017","*ST 中华A","2020-12-31","A","0.550294"
"000017","*ST 中华A","2020-12-31","B","-0.500065"
"000017","深中华A","2021-12-31","A","0.402088"
"000017","深中华A","2021-12-31","B","-0.023542"
"000017","深中华A","2022-12-31","A","1.691506"
"000017","深中华A","2022-12-31","B","8.476925"
"000020","深华发A","2014-12-31","A","0.108514"
"000020","深华发A","2014-12-31","B","0.489594"
"000020","深华发A","2015-12-31","A","-0.281193"
"000020","深华发A","2015-12-31","B","-0.059245"
"000020","深华发A","2016-12-31","A","0.239685"
"000020","深华发A","2016-12-31","B","-0.194389"
"000020","深华发A","2017-12-31","A","0.385796"
"000020","深华发A","2017-12-31","B","-0.054908"
"000020","深华发A","2018-12-31","A","-0.257556"
"000020","深华发A","2018-12-31","B","-0.106545"
"000020","深华发A","2019-12-31","A","0.132660"
"000020","深华发A","2019-12-31","B","0.039307"
"000020","深华发A","2020-12-31","A","-0.041321"
"000020","深华发A","2020-12-31","B","-0.024978"
"000020","深华发A","2021-12-31","A","0.106787"
"000020","深华发A","2021-12-31","B","0.277217"
"000020","深华发A","2022-12-31","A","-0.132151"
"000020","深华发A","2022-12-31","B","-0.036133"
"000021","长城开发","2014-12-31","A","0.093396"
"000021","长城开发","2014-12-31","B","0.069711"
"000021","深科技","2015-12-31","A","-0.065820"
"000021","深科技","2015-12-31","B","-0.077235"
"000021","深科技","2016-12-31","A","-0.019050"
"000021","深科技","2016-12-31","B","-0.147941"
"000021","深科技","2017-12-31","A","-0.057030"
"000021","深科技","2017-12-31","B","-0.439981"
"000021","深科技","2018-12-31","A","0.130278"
"000021","深科技","2018-12-31","B","-0.311748"
"000021","深科技","2019-12-31","A","-0.176651"
"000021","深科技","2019-12-31","B","0.349149"
"000021","深科技","2020-12-31","A","0.131839"
"000021","深科技","2020-12-31","B","-0.348483"
"000021","深科技","2021-12-31","A","0.101623"
"000021","深科技","2021-12-31","B","-0.603899"
"000021","深科技","2022-12-31","A","-0.022433"
"000021","深科技","2022-12-31","B","0.178365"
"000030","富奥股份","2014-12-31","A","-0.041660"
"000030","富奥股份","2014-12-31","B","0.010171"
"000030","富奥股份","2015-12-31","A","-0.135429"
"000030","富奥股份","2015-12-31","B","-0.108141"
"000030","富奥股份","2016-12-31","A","0.352169"
"000030","富奥股份","2016-12-31","B","0.419499"
"000030","富奥股份","2017-12-31","A","0.228161"
"000030","富奥股份","2017-12-31","B","0.345042"
"000030","富奥股份","2018-12-31","A","0.091651"
"000030","富奥股份","2018-12-31","B","-0.045508"
"000030","富奥股份","2019-12-31","A","0.281600"
"000030","富奥股份","2019-12-31","B","0.067916"
"000030","富奥股份","2020-12-31","A","0.104297"
"000030","富奥股份","2020-12-31","B","0.127610"
"000030","富奥股份","2021-12-31","A","0.154297"
"000030","富奥股份","2021-12-31","B","-0.111493"
"000030","富奥股份","2022-12-31","A","-0.020088"
"000030","富奥股份","2022-12-31","B","-0.421092"
"000039","中集集团","2014-12-31","A","0.210740"
"000039","中集集团","2014-12-31","B","0.502860"
"000039","中集集团","2015-12-31","A","-0.162479"
"000039","中集集团","2015-12-31","B","0.032261"
"000039","中集集团","2016-12-31","A","-0.129063"
"000039","中集集团","2016-12-31","B","-0.476360"
"000039","中集集团","2017-12-31","A","0.492809"
"000039","中集集团","2017-12-31","B","1.115725"
"000039","中集集团","2018-12-31","A","0.225396"
"000039","中集集团","2018-12-31","B","0.044851"
"000039","中集集团","2019-12-31","A","-0.082166"
"000039","中集集团","2019-12-31","B","0.373558"
"000039","中集集团","2020-12-31","A","0.097229"
"000039","中集集团","2020-12-31","B","-0.497876"
"000039","中集集团","2021-12-31","A","0.738504"
"000039","中集集团","2021-12-31","B","0.830684"
"000039","中集集团","2022-12-31","A","-0.135369"
"000039","中集集团","2022-12-31","B","-0.368373"
"000045","深纺织A","2014-12-31","A","0.070599"
"000045","深纺织A","2014-12-31","B","0.034872"
"000045","深纺织A","2015-12-31","A","0.013043"
"000045","深纺织A","2015-12-31","B","0.021371"
"000045","深纺织A","2016-12-31","A","-0.023270"
"000045","深纺织A","2016-12-31","B","-0.008532"
"000045","深纺织A","2017-12-31","A","0.231468"
"000045","深纺织A","2017-12-31","B","0.024269"
"000045","深纺织A","2018-12-31","A","-0.137704"
"000045","深纺织A","2018-12-31","B","0.043575"
"000045","深纺织A","2019-12-31","A","0.696210"
"000045","深纺织A","2019-12-31","B","0.808722"
"000045","深纺织A","2020-12-31","A","-0.022806"
"000045","深纺织A","2020-12-31","B","-0.504013"
"000045","深纺织A","2021-12-31","A","0.087618"
"000045","深纺织A","2021-12-31","B","0.275100"
"000045","深纺织A","2022-12-31","A","0.237271"
"000045","深纺织A","2022-12-31","B","-0.282918"
"000048","康达尔","2014-12-31","A","0.369964"
"000048","康达尔","2014-12-31","B","28.267043"
"000048","康达尔","2015-12-31","A","0.073496"
"000048","康达尔","2015-12-31","B","0.565365"
"000048","康达尔","2016-12-31","A","-0.321799"
"000048","康达尔","2016-12-31","B","-0.889981"
"000048","康达尔","2017-12-31","A","-0.007441"
"000048","康达尔","2017-12-31","B","-0.853046"
"000048","*ST 康达","2018-12-31","A","1.217933"
"000048","*ST 康达","2018-12-31","B","139.456076"
"000048","康达尔","2019-12-31","A","0.431134"
"000048","康达尔","2019-12-31","B","0.902343"
"000048","京基智农","2020-12-31","A","-0.172244"
