"Stkcd","ShortName","Accper","Typrep","F051401B"
"000008","宝利来","2014-12-31","A","0.059544"
"000008","神州高铁","2015-12-31","A","0.151142"
"000008","神州高铁","2016-12-31","A","0.300500"
"000008","神州高铁","2017-12-31","A","0.437721"
"000008","神州高铁","2018-12-31","A","0.168828"
"000008","神州高铁","2019-12-31","A","0.170799"
"000008","神州高铁","2020-12-31","A","-0.446822"
"000008","神州高铁","2021-12-31","A","-0.609426"
"000008","神州高铁","2022-12-31","A","-0.504115"
"000012","南玻A","2014-12-31","A","0.115061"
"000012","南玻A","2015-12-31","A","0.070628"
"000012","南玻A","2016-12-31","A","0.096381"
"000012","南玻A","2017-12-31","A","0.090143"
"000012","南玻A","2018-12-31","A","0.050168"
"000012","南玻A","2019-12-31","A","0.063380"
"000012","南玻A","2020-12-31","A","0.104194"
"000012","南玻A","2021-12-31","A","0.141678"
"000012","南玻A","2022-12-31","A","0.148911"
"000016","深康佳A","2014-12-31","A","-0.007703"
"000016","深康佳A","2015-12-31","A","-0.085306"
"000016","深康佳A","2016-12-31","A","-0.011441"
"000016","深康佳A","2017-12-31","A","0.211099"
"000016","深康佳A","2018-12-31","A","0.002910"
"000016","深康佳A","2019-12-31","A","0.005502"
"000016","深康佳A","2020-12-31","A","0.008745"
"000016","深康佳A","2021-12-31","A","0.030812"
"000016","深康佳A","2022-12-31","A","-0.066467"
"000016","深康佳A","2023-12-31","A","-0.144930"
"000017","深中华A","2014-12-31","A","-0.031723"
"000017","深中华A","2015-12-31","A","-0.002225"
"000017","深中华A","2016-12-31","A","0.029682"
"000017","深中华A","2017-12-31","A","0.013189"
"000017","深中华A","2018-12-31","A","-0.019219"
"000017","深中华A","2019-12-31","A","-0.105182"
"000017","*ST 中华A","2020-12-31","A","0.033190"
"000017","深中华A","2021-12-31","A","-0.006548"
"000017","深中华A","2022-12-31","A","-0.013603"
"000020","深华发A","2014-12-31","A","0.006831"
"000020","深华发A","2015-12-31","A","-0.005859"
"000020","深华发A","2016-12-31","A","0.013552"
"000020","深华发A","2017-12-31","A","0.006198"
"000020","深华发A","2018-12-31","A","0.006351"
"000020","深华发A","2019-12-31","A","0.010949"
"000020","深华发A","2020-12-31","A","0.012631"
"000020","深华发A","2021-12-31","A","0.014420"
"000020","深华发A","2022-12-31","A","0.022653"
"000021","长城开发","2014-12-31","A","0.015796"
"000021","深科技","2015-12-31","A","0.012869"
"000021","深科技","2016-12-31","A","0.022484"
"000021","深科技","2017-12-31","A","0.051653"
"000021","深科技","2018-12-31","A","0.043544"
"000021","深科技","2019-12-31","A","0.041319"
"000021","深科技","2020-12-31","A","0.074935"
"000021","深科技","2021-12-31","A","0.061924"
"000021","深科技","2022-12-31","A","0.050104"
"000021","深科技","2023-12-31","A","0.067837"
"000030","富奥股份","2014-12-31","A","0.131583"
"000030","富奥股份","2015-12-31","A","0.120691"
"000030","富奥股份","2016-12-31","A","0.110867"
"000030","富奥股份","2017-12-31","A","0.128084"
"000030","富奥股份","2018-12-31","A","0.109769"
"000030","富奥股份","2019-12-31","A","0.093335"
"000030","富奥股份","2020-12-31","A","0.083212"
"000030","富奥股份","2021-12-31","A","0.058010"
"000030","富奥股份","2022-12-31","A","0.035577"
"000039","中集集团","2014-12-31","A","0.047065"
"000039","中集集团","2015-12-31","A","0.050161"
"000039","中集集团","2016-12-31","A","0.015663"
"000039","中集集团","2017-12-31","A","0.054675"
"000039","中集集团","2018-12-31","A","0.069275"
"000039","中集集团","2019-12-31","A","0.068038"
"000039","中集集团","2020-12-31","A","0.079011"
"000039","中集集团","2021-12-31","A","0.082296"
"000039","中集集团","2022-12-31","A","0.053027"
"000039","中集集团","2023-12-31","A","0.022157"
"000045","深纺织A","2014-12-31","A","-0.068653"
"000045","深纺织A","2015-12-31","A","0.015725"
"000045","深纺织A","2016-12-31","A","-0.077550"
"000045","深纺织A","2017-12-31","A","0.058398"
"000045","深纺织A","2018-12-31","A","-0.042810"
"000045","深纺织A","2019-12-31","A","0.002293"
"000045","深纺织A","2020-12-31","A","0.023895"
"000045","深纺织A","2021-12-31","A","0.029050"
"000045","深纺织A","2022-12-31","A","0.012978"
"000045","深纺织A","2023-12-31","A","0.049778"
"000048","康达尔","2014-12-31","A","0.071435"
"000048","康达尔","2015-12-31","A","0.106936"
"000048","康达尔","2016-12-31","A","-0.013467"
"000048","康达尔","2017-12-31","A","-0.093245"
"000048","*ST 康达","2018-12-31","A","0.181458"
"000048","康达尔","2019-12-31","A","0.310275"
"000048","京基智农","2020-12-31","A","0.289762"
"000048","京基智农","2021-12-31","A","0.206769"
"000048","京基智农","2022-12-31","A","0.174666"
"000048","京基智农","2023-12-31","A","0.202052"
"000049","德赛电池","2014-12-31","A","0.062102"
"000049","德赛电池","2015-12-31","A","0.045984"
"000049","德赛电池","2016-12-31","A","0.050019"
"000049","德赛电池","2017-12-31","A","0.040031"
"000049","德赛电池","2018-12-31","A","0.039288"
"000049","德赛电池","2019-12-31","A","0.045603"
"000049","德赛电池","2020-12-31","A","0.046636"
"000049","德赛电池","2021-12-31","A","0.048937"
"000049","德赛电池","2022-12-31","A","0.045385"
"000049","德赛电池","2023-12-31","A","0.026215"
"000050","深天马A","2014-12-31","A","0.016740"
"000050","深天马A","2015-12-31","A","0.001804"
"000050","深天马A","2016-12-31","A","0.033129"
"000050","深天马A","2017-12-31","A","0.063119"
"000050","深天马A","2018-12-31","A","0.034019"
"000050","深天马A","2019-12-31","A","0.033140"
"000050","深天马A","2020-12-31","A","0.055263"
"000050","深天马A","2021-12-31","A","0.050979"
"000050","深天马A","2022-12-31","A","0.004103"
"000050","深天马A","2023-12-31","A","-0.059687"
"000055","方大集团","2014-12-31","A","0.053926"
"000055","方大集团","2015-12-31","A","0.036068"
"000055","方大集团","2016-12-31","A","0.201860"
"000055","方大集团","2017-12-31","A","0.483307"
"000055","方大集团","2018-12-31","A","0.974180"
"000055","方大集团","2019-12-31","A","0.139114"
"000055","方大集团","2020-12-31","A","0.168476"
"000055","方大集团","2021-12-31","A","0.076387"
"000055","方大集团","2022-12-31","A","0.085780"
"000055","方大集团","2023-12-31","A","0.073741"
"000059","华锦股份","2014-12-31","A","-0.034864"
"000059","*ST 华锦","2015-12-31","A","0.009939"
"000059","华锦股份","2016-12-31","A","0.077667"
"000059","华锦股份","2017-12-31","A","0.076960"
"000059","华锦股份","2018-12-31","A","0.037595"
"000059","华锦股份","2019-12-31","A","0.030516"
"000059","华锦股份","2020-12-31","A","0.010514"
"000059","华锦股份","2021-12-31","A","0.029193"
"000059","华锦股份","2022-12-31","A","0.016192"
