,,,,,,,,,,,,,,,,water quality
24,27,3.2,6.5,7,8,245,5160,1.6,3.2,1.02,3.6,9,21,120,210,1
26,29,3,6.8,6.9,7.8,599,1179,1.9,4.6,0.77,3.56,15,23,150,240,1
18,24,4.2,6,7.2,8.2,28000,56900,2.4,2.8,1.2,1.64,3,3,47,150,1
22,29,5.4,6.2,6.3,7.9,180,476,1,2.5,0.34,2.3,24,365,170,549,1
21,30,5.4,6.5,7.3,8,496,734,1,2.3,0.35,1,43,289,240,727,1
22,23,6.8,7.5,7.1,9,158,320,1.2,2.2,0.42,1.79,3,4,63,150,1
20,29,5.1,6.4,7.1,7.9,381,608,1,2.2,0.32,0.67,45,322,210,602,1
22,31,4.2,7.3,7.1,8.5,274,18950,1.5,2.5,0.38,2.82,4,15,2,150,1
27,31,4.5,7.2,7.1,8.6,12230,56900,1.4,3.6,0.63,2.86,4,15,64,120,1
21,30,3.8,5.8,6.6,8.1,802,1326,2.2,3.5,1.08,4.51,191,659,540,1120,1
25,26,6.1,7.5,7.3,7.9,16170,26800,2.4,2.8,1.12,1.8,3,3,63,150,1
23,30,4.3,5.6,6.8,8.1,733,1303,1.8,3.2,0.65,2.91,170,525,430,1120,1
24,28,5.1,6.2,7.1,8,24000,34500,2.4,2.8,1.03,1.81,3,3,71,150,1
21,27,5.3,6.3,7,7.9,346,560,1,1.7,0.33,2.57,84,376,220,659,1
22,32,2,8,7.2,8.3,330,58500,1.8,4.1,1,6.16,7,28,2,1100,1
24,30,5.8,8,6.8,8.2,460,1340,1.5,4.1,0.32,1.92,4,21,64,210,1
22,32,3.5,8.5,6.9,8.6,271,53100,1.5,22,1.02,3.87,9,23,120,460,1
23,28,4.6,6.1,7.1,8.1,931,1702,1.8,3,0.42,2.94,180,629,430,1046,1
26,32,0.3,7.5,6.6,7.7,620,1450,1.9,54,1.96,6.09,21,39,240,2400,1
22,27,5.1,6.4,6.8,7.9,357,1210,1.2,2.7,0.38,2.34,41,356,220,840,1
21,29,5.2,6.5,7.2,7.9,480,795,1,1.8,0.34,0.94,25,373,240,594,1
25,32,4.1,8,7,8.2,216,392,1.2,2.4,0.34,2.29,3,4,39,75,1
25,29,2.3,8,7,8,730,39600,1.8,5.8,0.46,3.02,4,15,49,150,1
21,24,6.4,7.6,7,8.4,641,937,2.6,4.4,1.27,4.52,3,4,150,2400,1
23,28,2.2,8.2,7.1,8,185,1175,1.4,2.8,0.42,2.29,4,7,43,93,1
24,24,1,1,7.7,7.8,278,282,2.3,2.4,1,1,2,2,2,2,1
22,26,3.8,8.5,7,7.7,179,208,2,2.7,0.6,1.2,300,910,1400,2000,1
21,32,0.3,6.3,7.3,7.8,452,470,23.6,29.2,2,2.8,2300,3900,4400,6400,1
24,36,4.5,5.5,7,7.8,66,81,1.6,2.6,0.7,1.1,300,730,610,1500,1
21,31,4.6,10.8,7.2,7.8,156,288,2,5,0.6,2,300,730,1100,1600,1
20,31,4.2,10.8,7.2,7.8,150,291,2.2,5.2,0.8,1.8,300,730,910,1600,1
22,34,4.2,5.5,7,7.6,64,98,2,2.9,0.7,1.4,300,730,910,1600,1
22,25,4.2,8.4,7,7.6,84,130,2,2.8,0.6,0.9,300,730,910,1500,1
20,35,5.4,7.6,6.8,7.6,53,85,1.9,2.5,0.7,1.2,300,360,360,910,1
21,27,0.3,3.8,7.2,7.8,1046,1150,25.2,30.4,2.2,3.4,360,1400,910,2700,1
20,25,4,6.2,7,7.7,126,164,2.1,2.8,0.6,1,300,610,610,1600,1
22,25,4,7.8,7.2,8,136,161,2.3,2.8,0.8,1.1,300,720,910,2000,1
20,30,5.8,10.2,7,7.6,120,152,2.2,2.8,0.6,1.2,300,930,910,2000,1
19,34,4,7.1,7,7.5,118,143,2,2.9,0.6,1.1,300,730,720,2000,1
20,33,0.3,1.4,7.1,7.6,511,532,14,19,1.2,2.6,1400,2300,2700,4300,1
21,25,4,4.3,6.8,7.5,123,158,2.2,2.8,0.6,1.2,300,910,730,2100,1
21,32,0.3,6.7,7,8,462,486,24.6,29.4,2,2.8,2600,3600,4200,5300,1
18,24,4.2,4.8,7.2,7.5,101,130,2.1,2.6,0.6,1.2,300,910,1100,2000,1
20,27,4.5,10,7,7.6,210,242,2,2.6,1,1.3,300,2300,730,4300,1
21,25,4,7,7.2,7.8,200,297,2,2.8,0.6,1.1,300,730,610,1500,1
18,33,5.8,7.4,6.8,8,68,111,2,2.6,0.6,1.1,300,360,360,1100,1
19,34,5.6,7.6,6.9,7.7,56,96,2,2.5,0.7,1.1,300,360,300,910,1
20,30,4,6.2,7.2,7.6,63,88,2,2.8,0.8,1.1,300,730,730,1500,1
22,32,4.6,10.3,7.2,7.7,83,108,2.1,2.6,0.7,1.1,300,730,720,1500,1
20,35,4.2,11.2,7.1,7.7,218,321,2.3,3,1,1.8,360,730,910,2000,1
19,29,4,6.8,7,7.6,206,882,2.2,2.8,0.8,1.3,300,910,730,2100,1
20,30,6.8,9.2,7.3,7.8,63,103,2.1,2.5,0.7,1.1,300,720,720,1500,1
21,27,4.5,10.2,7,7.8,70,89,1.8,2.8,0.6,1.1,300,730,610,1500,1
20,36,4.8,7,6.4,7.6,65,83,1.3,2.7,0.7,1.4,2,730,360,1500,1
20,32,6.8,7.6,7.4,7.8,101,119,2.3,2.6,0.6,1.2,300,360,620,1500,1
18,32,5.6,7.2,6.7,7.4,64,77,1.8,2.7,0.8,1.1,300,360,360,910,1
22,31,7,8,7.2,8,89,210,2.2,2.8,0.8,1.1,300,720,730,1400,1
20,35,4.5,11,7,8,382,404,2.1,2.9,0.8,1.2,360,910,910,2000,1
22,36,4,5.1,7.2,8,68,95,1.9,2.6,0.7,1.1,300,910,910,2100,1
18,35,5,7.6,6,7.9,64,88,1.8,2.6,0.7,1.1,300,360,360,910,1
23,33,7,7.8,7.2,7.8,264,304,2.2,2.7,0.8,1.3,300,730,720,1500,1
22,25,4,5.4,6.8,7.7,122,179,2.2,2.6,0.7,1,300,940,910,1600,1
24,38,4.1,5.7,7,7.7,60,80,1.9,2.6,0.7,1.2,300,910,730,2000,1
24,36,4.3,5.6,7.3,7.9,96,126,2.1,2.6,0.7,1.2,300,910,910,2000,1
21,33,5.6,7.8,6.8,7.8,73,109,2.1,2.6,0.6,1.2,300,360,360,910,1
21,32,4,7,7,7.6,75,105,2,2.7,0.7,1.1,300,730,720,1500,1
20,36,4,7.5,6.6,7.6,66,90,1.8,2.8,0.7,1.1,300,730,360,1500,1
19,30,4,8.5,7.3,7.8,218,247,2,2.7,0.6,1.1,300,730,720,2100,1
19,36,5.5,7.8,6.8,7.7,71,89,2,2.8,0.7,1.1,300,360,360,910,1
20,36,5.5,6.5,6.3,7.6,62,88,1.4,2.6,0.7,1.1,2,300,360,730,1
12,31,1.7,9.2,6.8,7.5,136,360,2.4,4.2,0.15,6.2,780,92000,2300,160000,1
20,29,2.6,22,7.2,8.3,390,1080,1,16,0.06,2.57,680,160000,1100,160000,1
12,32,2.2,18.5,7.6,9,444,948,3.7,10,0.3,0.5,1700,160000,3300,160000,1
18,31,3.3,16,7.1,8.2,427,817,2.3,6.9,0.13,1.65,2200,160000,2600,160000,1
18,31,5.4,19.6,7.4,8.8,557,1140,2.1,8,0.3,1.17,920,160000,1700,160000,1
17,33,7.5,10.3,6.9,8.7,208,295,2.4,3.6,0.5,15,5,27000,33,10900000,1
